date,y_true,y_pred,pos,r_gross,cost,r_net,model,H,strategy,tau,phase,allow_short,tc_bps,use_non_overlapping,is_baseline,ref_model
2022-03-11,-0.0012113871862968,0.0013548704186103,1,-0.0012113871862968,0.0,-0.0012113871862968,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-03-14,0.0010095912013525,0.0014304306731096,1,0.0010095912013525,0.0,0.0010095912013525,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-03-15,-0.0048553605399623,-0.0003068374431636,-1,0.0048553605399623,0.0002,0.0046553605399623004,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-03-16,-0.0066127714394292,-0.0008998818667647,-1,0.0066127714394292,0.0,0.0066127714394292,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-03-17,0.0026503583302277,7.429321495919194e-05,1,0.0026503583302277,0.0002,0.0024503583302277,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-03-18,0.0027448804912646,0.0003212349007808,1,0.0027448804912646,0.0,0.0027448804912646,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-03-21,-0.0001015279964322,0.0006746020818736,1,-0.0001015279964322,0.0,-0.0001015279964322,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-03-22,0.0013190606143691,-0.0001469280161326,-1,-0.0013190606143691,0.0002,-0.0015190606143691001,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-03-23,0.0017223042604026,0.0010890848771938,1,0.0017223042604026,0.0002,0.0015223042604025998,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-03-24,0.0,-0.0001321330780657,-1,-0.0,0.0002,-0.0002,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-03-25,0.0030321430144253,0.00059838603516,1,0.0030321430144253,0.0002,0.0028321430144253,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-03-28,-0.0069877240126006,0.0001087077763559,1,-0.0069877240126006,0.0,-0.0069877240126006,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-03-29,-0.0062184817340238,-0.000315310583861,-1,0.0062184817340238,0.0002,0.0060184817340238,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-03-30,0.0053034290546492,0.0006035722722655,1,0.0053034290546492,0.0002,0.005103429054649201,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-03-31,0.0032497235870696,0.0013941404224544,1,0.0032497235870696,0.0,0.0032497235870696,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-04-01,0.0037443751686874,0.000334604906893,1,0.0037443751686874,0.0,0.0037443751686874,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-04-04,0.0047362410297324,0.000653625648686,1,0.0047362410297324,0.0,0.0047362410297324,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-04-05,0.00130607342623,0.0013790439546825,1,0.00130607342623,0.0,0.00130607342623,ElasticNet,1,model,0.0,0,True,1.0,True,False,
