model,H,strategy,tau,phase,use_non_overlapping,regime,n_obs,mean_log_ret,std_log_ret,sharpe_ann,max_drawdown,hit_rate
LightGBM,5,model,0,4,TRUE,mid,83,-0.000435129,0.008389679,-0.368203509,-0.076938138,0.457831325
LightGBM,5,model,0.0005,0,TRUE,high,76,0.003904114,0.011694449,2.370052483,-0.034881683,0.539473684
LightGBM,5,model,0.0005,0,TRUE,low,45,0.0010102,0.005606441,1.279190765,-0.015320625,0.266666667
LightGBM,5,model,0.0005,0,TRUE,mid,83,-0.00029847,0.006691253,-0.31667127,-0.05752907,0.34939759
LightGBM,5,model,0.0005,1,TRUE,high,80,0.003604424,0.010741547,2.382233332,-0.031619855,0.5375
LightGBM,5,model,0.0005,1,TRUE,low,44,-7.01E-05,0.006657404,-0.074769927,-0.032210653,0.227272727
LightGBM,5,model,0.0005,1,TRUE,mid,80,0.001019831,0.006453292,1.121920795,-0.037837944,0.375
LightGBM,5,model,0.0005,2,TRUE,high,79,0.002407751,0.010357231,1.650377193,-0.031944935,0.481012658
LightGBM,5,model,0.0005,2,TRUE,low,43,3.95E-06,0.004376556,0.006408828,-0.012200568,0.209302326
LightGBM,5,model,0.0005,2,TRUE,mid,82,0.001498787,0.00625605,1.700806105,-0.032605583,0.353658537
LightGBM,5,model,0.0005,3,TRUE,high,77,0.001649008,0.011346592,1.031745312,-0.059645537,0.519480519
LightGBM,5,model,0.0005,3,TRUE,low,43,0.001633175,0.005540593,2.092626434,-0.01638873,0.279069767
LightGBM,5,model,0.0005,3,TRUE,mid,83,-0.000119766,0.006505322,-0.130701416,-0.03487702,0.265060241
LightGBM,5,model,0.0005,4,TRUE,high,76,0.001601609,0.010996225,1.034017988,-0.067754815,0.513157895
LightGBM,5,model,0.0005,4,TRUE,low,44,0.001529391,0.006393662,1.698181177,-0.02597427,0.272727273
LightGBM,5,model,0.0005,4,TRUE,mid,83,-0.000615105,0.006056464,-0.721017112,-0.052081731,0.240963855
LightGBM,5,model,0.001,0,TRUE,high,76,0.002936234,0.01124128,1.854343589,-0.034881683,0.434210526
LightGBM,5,model,0.001,0,TRUE,low,45,0.000322692,0.00315587,0.725912771,-0.013622235,0.066666667
LightGBM,5,model,0.001,0,TRUE,mid,83,-1.37E-05,0.004506796,-0.02164258,-0.027803108,0.204819277
LightGBM,5,model,0.001,1,TRUE,high,80,0.003325605,0.010408183,2.268354583,-0.031619855,0.475
LightGBM,5,model,0.001,1,TRUE,low,44,-0.00042453,0.005706566,-0.528140105,-0.032210653,0.090909091
LightGBM,5,model,0.001,1,TRUE,mid,80,0.000536922,0.003280954,1.161785969,-0.017372505,0.2125
LightGBM,5,model,0.001,2,TRUE,high,79,0.002577762,0.010119668,1.808388961,-0.031944935,0.443037975
LightGBM,5,model,0.001,2,TRUE,low,43,0.000114656,0.003094803,0.263014573,-0.012200568,0.069767442
LightGBM,5,model,0.001,2,TRUE,mid,82,0.000822971,0.004655777,1.254895988,-0.013228555,0.231707317
LightGBM,5,model,0.001,3,TRUE,high,77,0.001588902,0.010910025,1.033919331,-0.04450627,0.467532468
LightGBM,5,model,0.001,3,TRUE,low,43,0.000575616,0.004153736,0.983806097,-0.01638873,0.093023256
LightGBM,5,model,0.001,3,TRUE,mid,83,-0.000705022,0.004293631,-1.165716869,-0.078820262,0.144578313
LightGBM,5,model,0.001,4,TRUE,high,76,0.001531713,0.010744488,1.012061899,-0.067754815,0.434210526
LightGBM,5,model,0.001,4,TRUE,low,44,0.000684798,0.005215461,0.932149085,-0.024953753,0.090909091
LightGBM,5,model,0.001,4,TRUE,mid,83,-0.000484838,0.004633113,-0.742914285,-0.050135791,0.156626506
RandomForest,5,model,0,0,TRUE,high,76,0.003854938,0.01196252,2.287757464,-0.027293259,0.618421053
RandomForest,5,model,0,0,TRUE,low,45,0.001069664,0.008747722,0.868096063,-0.043704302,0.555555556
RandomForest,5,model,0,0,TRUE,mid,83,-0.000127448,0.008738813,-0.103537214,-0.051812558,0.554216867
RandomForest,5,model,0,1,TRUE,high,80,0.003762154,0.012018269,2.222337111,-0.039172728,0.65
RandomForest,5,model,0,1,TRUE,low,44,0.00193867,0.008198018,1.67884335,-0.020472291,0.522727273
RandomForest,5,model,0,1,TRUE,mid,80,2.76E-05,0.008793974,0.022272715,-0.071898417,0.525
RandomForest,5,model,0,2,TRUE,high,79,0.002954708,0.010706381,1.959238106,-0.031944935,0.594936709
RandomForest,5,model,0,2,TRUE,low,43,0.001081952,0.007045093,1.090276549,-0.023158154,0.604651163
RandomForest,5,model,0,2,TRUE,mid,82,0.001553004,0.009180224,1.200976601,-0.046034901,0.536585366
RandomForest,5,model,0,3,TRUE,high,77,0.002121336,0.011770971,1.279418018,-0.044858363,0.649350649
RandomForest,5,model,0,3,TRUE,low,43,0.001071832,0.007972897,0.954389473,-0.02813355,0.558139535
RandomForest,5,model,0,3,TRUE,mid,83,0.000142614,0.008574474,0.118078473,-0.066755984,0.457831325
RandomForest,5,model,0,4,TRUE,high,76,0.004399399,0.011253372,2.775402396,-0.027639633,0.671052632
RandomForest,5,model,0,4,TRUE,low,44,0.0002677,0.008560821,0.221997962,-0.034050693,0.522727273
RandomForest,5,model,0,4,TRUE,mid,83,0.000267403,0.008392927,0.226187051,-0.063348741,0.493975904
RandomForest,5,model,0.0005,0,TRUE,high,76,0.004035065,0.011262321,2.543536253,-0.0310949,0.5
RandomForest,5,model,0.0005,0,TRUE,low,45,0.000343652,0.004383672,0.556539291,-0.017809517,0.155555556
RandomForest,5,model,0.0005,0,TRUE,mid,83,0.00064973,0.006479598,0.711869113,-0.030454819,0.34939759
RandomForest,5,model,0.0005,1,TRUE,high,80,0.003297239,0.011600274,2.017889907,-0.039172728,0.5375
RandomForest,5,model,0.0005,1,TRUE,low,44,0.001563361,0.005922613,1.873964074,-0.011102067,0.204545455
RandomForest,5,model,0.0005,1,TRUE,mid,80,0.000312112,0.006283649,0.352625695,-0.037837944,0.3125
RandomForest,5,model,0.0005,2,TRUE,high,79,0.002755858,0.010432427,1.875369314,-0.031944935,0.493670886
RandomForest,5,model,0.0005,2,TRUE,low,43,0.000841618,0.005277629,1.132116894,-0.011576041,0.23255814
RandomForest,5,model,0.0005,2,TRUE,mid,82,0.000739751,0.005575477,0.941930217,-0.022825966,0.292682927
RandomForest,5,model,0.0005,3,TRUE,high,77,0.001695939,0.011361058,1.059758063,-0.044858363,0.545454545
RandomForest,5,model,0.0005,3,TRUE,low,43,0.00084935,0.005512029,1.093931743,-0.014997371,0.23255814
RandomForest,5,model,0.0005,3,TRUE,mid,83,0.000327377,0.006347581,0.366146633,-0.028240437,0.265060241
RandomForest,5,model,0.0005,4,TRUE,high,76,0.003809388,0.010355031,2.611674573,-0.027639633,0.565789474
RandomForest,5,model,0.0005,4,TRUE,low,44,0.000644416,0.006184215,0.739770716,-0.017956187,0.159090909
RandomForest,5,model,0.0005,4,TRUE,mid,83,-7.47E-05,0.005661808,-0.09364997,-0.032664855,0.277108434
RandomForest,5,model,0.001,0,TRUE,high,76,0.003184105,0.010343457,2.185430097,-0.0310949,0.394736842
RandomForest,5,model,0.001,0,TRUE,low,45,0.000724416,0.002806227,1.832655186,-1.00E-04,0.088888889
RandomForest,5,model,0.001,0,TRUE,mid,83,-5.33E-05,0.003996543,-0.094748266,-0.031142117,0.13253012
