model,H,method,feature,importance_mean
Lasso,5,permutation,USD_JPY,9.376883653928688e-20
Lasso,5,permutation,US_10Y,9.376883653928688e-20
Lasso,5,permutation,US_3M,9.376883653928688e-20
Lasso,5,permutation,US_CPI,9.376883653928688e-20
Lasso,5,permutation,US_Mkt_Index,9.376883653928688e-20
Lasso,5,permutation,US_TermSpread,9.376883653928688e-20
Lasso,5,permutation,VIX,9.376883653928688e-20
Lasso,5,permutation,WTI,9.376883653928688e-20
Lasso,5,permutation,ret_lag_1,9.376883653928688e-20
Lasso,5,permutation,ret_lag_10,9.376883653928688e-20
Lasso,5,permutation,ret_lag_2,9.376883653928688e-20
Lasso,5,permutation,ret_lag_20,9.376883653928688e-20
Lasso,5,permutation,ret_lag_5,9.376883653928688e-20
Lasso,10,permutation,BBW_20,0.0
Lasso,10,permutation,BBW_5,0.0
Lasso,10,permutation,BBW_60,0.0
Lasso,10,permutation,CN_10Y,0.0
Lasso,10,permutation,CN_CPI,0.0
Lasso,10,permutation,CN_Mkt_Index,0.0
Lasso,10,permutation,EPU_D,0.0
Lasso,10,permutation,Euro_CPI,0.0
Lasso,10,permutation,GDP,0.0
Lasso,10,permutation,GER_10Y,0.0
Lasso,10,permutation,GER_3M,0.0
Lasso,10,permutation,GER_Mkt_Index,0.0
Lasso,10,permutation,GER_TermSpread,0.0
Lasso,10,permutation,GOLD,0.0
Lasso,10,permutation,HK_Mkt_Index,0.0
Lasso,10,permutation,JP_10Y,0.0
Lasso,10,permutation,JP_CPI,0.0
Lasso,10,permutation,JP_Mkt_Index,0.0
Lasso,10,permutation,MA_gap_20,0.0
Lasso,10,permutation,MA_gap_5,0.0
Lasso,10,permutation,MA_gap_60,0.0
Lasso,10,permutation,Output_Gap,0.0
Lasso,10,permutation,UK_10Y,0.0
Lasso,10,permutation,UK_3M,0.0
Lasso,10,permutation,UK_Mkt_Index,0.0
Lasso,10,permutation,UK_TermSpread,0.0
Lasso,10,permutation,USD_CNY,0.0
Lasso,10,permutation,USD_EUR,0.0
Lasso,10,permutation,USD_Futures,0.0
Lasso,10,permutation,USD_GBP,0.0
Lasso,10,permutation,USD_JPY,0.0
Lasso,10,permutation,US_10Y,0.0
Lasso,10,permutation,US_3M,0.0
Lasso,10,permutation,US_CPI,0.0
Lasso,10,permutation,US_Mkt_Index,0.0
Lasso,10,permutation,US_TermSpread,0.0
Lasso,10,permutation,VIX,0.0
Lasso,10,permutation,WTI,0.0
Lasso,10,permutation,ret_lag_1,0.0
Lasso,10,permutation,ret_lag_10,0.0
Lasso,10,permutation,ret_lag_2,0.0
Lasso,10,permutation,ret_lag_20,0.0
Lasso,10,permutation,ret_lag_5,0.0
Lasso,20,permutation,BBW_20,-9.376883653928688e-20
Lasso,20,permutation,BBW_5,-9.376883653928688e-20
Lasso,20,permutation,BBW_60,-9.376883653928688e-20
Lasso,20,permutation,CN_10Y,-9.376883653928688e-20
Lasso,20,permutation,CN_CPI,-9.376883653928688e-20
Lasso,20,permutation,CN_Mkt_Index,-9.376883653928688e-20
Lasso,20,permutation,EPU_D,-9.376883653928688e-20
Lasso,20,permutation,Euro_CPI,-9.376883653928688e-20
Lasso,20,permutation,GDP,-9.376883653928688e-20
Lasso,20,permutation,GER_10Y,-9.376883653928688e-20
Lasso,20,permutation,GER_3M,-9.376883653928688e-20
Lasso,20,permutation,GER_Mkt_Index,-9.376883653928688e-20
Lasso,20,permutation,GER_TermSpread,-9.376883653928688e-20
Lasso,20,permutation,GOLD,-9.376883653928688e-20
Lasso,20,permutation,HK_Mkt_Index,-9.376883653928688e-20
Lasso,20,permutation,JP_10Y,-9.376883653928688e-20
Lasso,20,permutation,JP_CPI,-9.376883653928688e-20
Lasso,20,permutation,JP_Mkt_Index,-9.376883653928688e-20
Lasso,20,permutation,MA_gap_20,-9.376883653928688e-20
Lasso,20,permutation,MA_gap_5,-9.376883653928688e-20
Lasso,20,permutation,MA_gap_60,-9.376883653928688e-20
Lasso,20,permutation,Output_Gap,-9.376883653928688e-20
Lasso,20,permutation,UK_10Y,-9.376883653928688e-20
Lasso,20,permutation,UK_3M,-9.376883653928688e-20
Lasso,20,permutation,UK_Mkt_Index,-9.376883653928688e-20
Lasso,20,permutation,UK_TermSpread,-9.376883653928688e-20
Lasso,20,permutation,USD_CNY,-9.376883653928688e-20
Lasso,20,permutation,USD_EUR,-9.376883653928688e-20
Lasso,20,permutation,USD_Futures,-9.376883653928688e-20
Lasso,20,permutation,USD_GBP,-9.376883653928688e-20
Lasso,20,permutation,USD_JPY,-9.376883653928688e-20
Lasso,20,permutation,US_10Y,-9.376883653928688e-20
Lasso,20,permutation,US_3M,-9.376883653928688e-20
Lasso,20,permutation,US_CPI,-9.376883653928688e-20
Lasso,20,permutation,US_Mkt_Index,-9.376883653928688e-20
Lasso,20,permutation,US_TermSpread,-9.376883653928688e-20
Lasso,20,permutation,VIX,-9.376883653928688e-20
Lasso,20,permutation,WTI,-9.376883653928688e-20
Lasso,20,permutation,ret_lag_1,-9.376883653928688e-20
Lasso,20,permutation,ret_lag_10,-9.376883653928688e-20
Lasso,20,permutation,ret_lag_2,-9.376883653928688e-20
Lasso,20,permutation,ret_lag_20,-9.376883653928688e-20
Lasso,20,permutation,ret_lag_5,-9.376883653928688e-20
LightGBM,1,permutation,BBW_20,-1.614297400706265e-06
LightGBM,1,permutation,BBW_5,-2.0359219399855134e-06
LightGBM,1,permutation,BBW_60,-1.2435390866969111e-06
LightGBM,1,permutation,CN_10Y,-7.391930312090956e-09
LightGBM,1,permutation,CN_CPI,4.0734984656798284e-07
LightGBM,1,permutation,CN_Mkt_Index,3.0178672675317734e-07
LightGBM,1,permutation,EPU_D,4.4671187381331804e-07
LightGBM,1,permutation,Euro_CPI,-3.271450322394735e-08
LightGBM,1,permutation,GDP,-3.106506192276813e-09
LightGBM,1,permutation,GER_10Y,-8.97609687721043e-08
LightGBM,1,permutation,GER_3M,-2.7904901351263126e-06
LightGBM,1,permutation,GER_Mkt_Index,6.979121767083704e-08
LightGBM,1,permutation,GER_TermSpread,-8.730617293512017e-08
LightGBM,1,permutation,GOLD,-1.5011358978390486e-07
LightGBM,1,permutation,HK_Mkt_Index,-6.556891831885366e-07
LightGBM,1,permutation,JP_10Y,-2.1510511798003768e-06
LightGBM,1,permutation,JP_CPI,-4.3739107442676105e-06
LightGBM,1,permutation,JP_Mkt_Index,7.422617810947163e-07
LightGBM,1,permutation,MA_gap_20,4.3852750811541794e-07
LightGBM,1,permutation,MA_gap_5,3.877769961747265e-07
LightGBM,1,permutation,MA_gap_60,9.188260755941396e-07
LightGBM,1,permutation,Output_Gap,5.5621407937026756e-08
LightGBM,1,permutation,UK_10Y,-1.50215704389926e-08
LightGBM,1,permutation,UK_3M,4.828054494629091e-08
LightGBM,1,permutation,UK_Mkt_Index,-2.6901427538849265e-08
LightGBM,1,permutation,UK_TermSpread,-6.224001261327834e-07
LightGBM,1,permutation,USD_CNY,1.560649516152065e-06
LightGBM,1,permutation,USD_EUR,1.3535980059937323e-05
LightGBM,1,permutation,USD_Futures,-4.0693441325234903e-07
LightGBM,1,permutation,USD_GBP,-1.9850552333024153e-06
LightGBM,1,permutation,USD_JPY,3.9184286444286e-07
