model,H,strategy,tau,phase,use_non_overlapping,is_baseline,n_obs,mean_log_ret,std_log_ret,sharpe_ann,max_drawdown,hit_rate,turnover,tc_bps,allow_short,annual_scale,annualize_mode
Lasso,10,model,0.001,1,TRUE,FALSE,102,0,0,,0,0,0,1,TRUE,5.019960159,non_overlapping
Lasso,10,model,0.001,2,TRUE,FALSE,102,0,0,,0,0,0,1,TRUE,5.019960159,non_overlapping
Lasso,10,model,0.001,3,TRUE,FALSE,102,0,0,,0,0,0,1,TRUE,5.019960159,non_overlapping
Lasso,10,model,0.001,4,TRUE,FALSE,102,0,0,,0,0,0,1,TRUE,5.019960159,non_overlapping
Lasso,10,model,0.001,5,TRUE,FALSE,102,0,0,,0,0,0,1,TRUE,5.019960159,non_overlapping
Lasso,10,model,0.001,6,TRUE,FALSE,102,0,0,,0,0,0,1,TRUE,5.019960159,non_overlapping
Lasso,10,model,0.001,7,TRUE,FALSE,102,0,0,,0,0,0,1,TRUE,5.019960159,non_overlapping
Lasso,10,model,0.001,8,TRUE,FALSE,101,0,0,,0,0,0,1,TRUE,5.019960159,non_overlapping
Lasso,10,model,0.001,9,TRUE,FALSE,101,0,0,,0,0,0,1,TRUE,5.019960159,non_overlapping
Lasso,20,model,0,0,TRUE,FALSE,51,0.000821234,0.019212956,0.151725311,-0.125011186,0.509803922,0,1,TRUE,3.54964787,non_overlapping
Lasso,20,model,0,1,TRUE,FALSE,51,0.000678097,0.019343006,0.124437979,-0.125134553,0.490196078,0,1,TRUE,3.54964787,non_overlapping
Lasso,20,model,0,2,TRUE,FALSE,51,0.000723885,0.019645915,0.130792463,-0.123933543,0.490196078,0,1,TRUE,3.54964787,non_overlapping
Lasso,20,model,0,3,TRUE,FALSE,51,0.000713747,0.021563749,0.117491246,-0.138404321,0.529411765,0,1,TRUE,3.54964787,non_overlapping
Lasso,20,model,0,4,TRUE,FALSE,51,0.000657666,0.020370613,0.114600551,-0.143275113,0.529411765,0,1,TRUE,3.54964787,non_overlapping
Lasso,20,model,0,5,TRUE,FALSE,51,0.000677652,0.019853464,0.121158942,-0.143804136,0.529411765,0,1,TRUE,3.54964787,non_overlapping
Lasso,20,model,0,6,TRUE,FALSE,51,0.000567743,0.020025,0.100638649,-0.141936054,0.490196078,0,1,TRUE,3.54964787,non_overlapping
