model,H,strategy,tau,phase,use_non_overlapping,is_baseline,n_obs,mean_log_ret,std_log_ret,sharpe_ann,max_drawdown,hit_rate,turnover,tc_bps,allow_short,annual_scale,annualize_mode
ElasticNet,20,model,0.0,4,True,False,51,0.000657666204226642,0.020370612685678094,0.11460055114361674,-0.14327511304193552,0.5294117647058824,0.0,1.0,True,3.5496478698597698,non_overlapping
ElasticNet,20,model,0.0,5,True,False,51,0.0006776516332603551,0.019853463921553783,0.12115894163426967,-0.14380413646809198,0.5294117647058824,0.0,1.0,True,3.5496478698597698,non_overlapping
ElasticNet,20,model,0.0,6,True,False,51,0.0005677433411266255,0.02002499986716618,0.10063864942948371,-0.141936053700759,0.49019607843137253,0.0,1.0,True,3.5496478698597698,non_overlapping
ElasticNet,20,model,0.0,7,True,False,51,0.0005872670821162963,0.019647840034329584,0.10609773610893526,-0.14048711613130915,0.47058823529411764,0.0,1.0,True,3.5496478698597698,non_overlapping
ElasticNet,20,model,0.0,8,True,False,51,0.0007423540544697727,0.01995362766433436,0.13206097319538698,-0.1377714489142038,0.5294117647058824,0.0,1.0,True,3.5496478698597698,non_overlapping
ElasticNet,20,model,0.0,9,True,False,51,0.0006569271905947163,0.021919050464175246,0.10638509211695632,-0.14552996205101076,0.49019607843137253,0.0,1.0,True,3.5496478698597698,non_overlapping
ElasticNet,20,model,0.0,10,True,False,51,0.0008250633149123219,0.021884742110271967,0.13382310943035228,-0.13620135665833555,0.47058823529411764,0.0,1.0,True,3.5496478698597698,non_overlapping
ElasticNet,20,model,0.0,11,True,False,51,0.0007665279566917122,0.02070782852527681,0.131394961346983,-0.13332738785338427,0.5490196078431373,0.0,1.0,True,3.5496478698597698,non_overlapping
ElasticNet,20,model,0.0,12,True,False,51,0.000719616351973406,0.020396924402545143,0.12523381469119535,-0.14179500796601185,0.5490196078431373,0.0,1.0,True,3.5496478698597698,non_overlapping
ElasticNet,20,model,0.0,13,True,False,51,0.0007239720977010475,0.020541142137835332,0.12510726020969193,-0.13642806520198414,0.5490196078431373,0.0,1.0,True,3.5496478698597698,non_overlapping
ElasticNet,20,model,0.0,14,True,False,51,0.0007254827745138388,0.02007969765575819,0.12824936058907835,-0.13843979150101515,0.5098039215686274,0.0,1.0,True,3.5496478698597698,non_overlapping
ElasticNet,20,model,0.0,15,True,False,51,0.0006057653061122645,0.020479341730632344,0.10499622286492102,-0.14496056091148124,0.47058823529411764,0.0,1.0,True,3.5496478698597698,non_overlapping
ElasticNet,20,model,0.0,16,True,False,51,0.000609826582667235,0.021006610459633434,0.10304706865052171,-0.14424677942336295,0.49019607843137253,0.0,1.0,True,3.5496478698597698,non_overlapping
ElasticNet,20,model,0.0,17,True,False,51,0.0005904915915718351,0.019935254640386237,0.10514223459913927,-0.13214920071047975,0.45098039215686275,0.0,1.0,True,3.5496478698597698,non_overlapping
